"","TIME","REP_AIRP","UNIT","TRA_MEAS","TRA_COV","AIRCRAFT","Value","Flag.and.Footnotes"
"1",2008,"ANTWERPEN/DEURNE airport","Tonne","Freight and mail on board","Total transport","Fokker 50",690,NA
"2",2008,"BRUSSELS airport","Tonne","Freight and mail on board","Total transport","Airbus A318 - all models",85,NA
"3",2008,"BRUSSELS airport","Tonne","Freight and mail on board","Total transport","Airbus A340 - all models",116,NA
"4",2008,"BRUSSELS airport","Tonne","Freight and mail on board","Total transport","Other Avroliner models",19,NA
"5",2008,"BRUSSELS airport","Tonne","Freight and mail on board","Total transport","BAe 146 - all models",988,NA
"6",2008,"BRUSSELS airport","Tonne","Freight and mail on board","Total transport","Boeing MD-81",100,NA
"7",2008,"BRUSSELS airport","Tonne","Freight and mail on board","Total transport","Boeing MD-82",454,NA
"8",2008,"BRUSSELS airport","Tonne","Freight and mail on board","Total transport","Boeing MD-83",12,NA
"9",2008,"BRUSSELS airport","Tonne","Freight and mail on board","Total transport","Boeing MD-87",65,NA
"10",2008,"BRUSSELS airport","Tonne","Freight and mail on board","Total transport","Canadair CL-600 regional jet - all models",81,NA
"11",2008,"BRUSSELS airport","Tonne","Freight and mail on board","Total transport","De Havilland Canada Dash 8 - all models",19,NA
"12",2008,"BRUSSELS airport","Tonne","Freight and mail on board","Total transport","Dornier 328",37,NA
"13",2008,"BRUSSELS airport","Tonne","Freight and mail on board","Total transport","Douglas DC-10 - all models",252,NA
"14",2008,"BRUSSELS airport","Tonne","Freight and mail on board","Total transport","Embraer 135",9,NA
"15",2008,"BRUSSELS airport","Tonne","Freight and mail on board","Total transport","Embraer 145",74,NA
"16",2008,"BRUSSELS airport","Tonne","Freight and mail on board","Total transport","Embraer 170",133,NA
"17",2008,"BRUSSELS airport","Tonne","Freight and mail on board","Total transport","Other Embraer models",44,NA
"18",2008,"BRUSSELS airport","Tonne","Freight and mail on board","Total transport","Fokker 50",139,NA
"19",2008,"BRUSSELS airport","Tonne","Freight and mail on board","Total transport","Fokker 70",111,NA
"20",2008,"BRUSSELS airport","Tonne","Freight and mail on board","Total transport","Fokker 100",230,NA
"21",2008,"BRUSSELS airport","Tonne","Freight and mail on board","Total transport","Lockheed L-1011 TriStar",11,NA
"22",2008,"BRUSSELS airport","Tonne","Freight and mail on board","Total transport","Other Lockheed models",101,NA
"23",2008,"BRUSSELS airport","Tonne","Freight and mail on board","Total transport","Saab 2000",9,NA
"24",2008,"BRUSSELS airport","Tonne","Freight and mail on board","Total transport","Other",15,NA
"25",2008,"LIEGE airport","Tonne","Freight and mail on board","Total transport","Airbus A310 - all models",29,NA
"26",2008,"LIEGE airport","Tonne","Freight and mail on board","Total transport","Airbus A330 - all models",11,NA
"27",2008,"LIEGE airport","Tonne","Freight and mail on board","Total transport","Boeing MD-11",643,NA
"28",2008,"LIEGE airport","Tonne","Freight and mail on board","Total transport","Other Dornier models",9,NA
